datasets,sampleId,labels,RSAD2,BATF2,NCF1,ETV7,IFIT3,CD274,SGK1,IFIT1,IFI44L,SIGLEC1,WARS1,CTSS,PSAP,SAT1,SRGN,ANKRD22,ACTB,IFI27,CALHM6,GBP5,FCGR1A,UBC,ATF3
GSE111368,GSM3029558,Viral,7.303529675,5.340157914,10.19437347,4.891974857,9.432274322,4.819063267,9.784294978,9.917302467,8.636865732,3.796389455,9.55487089,9.994610056,12.73231699,12.1633237,13.48048529,6.592556632,13.54365162,8.362813251,6.29861827,8.981421093,8.658000904,13.66873227,5.052736757
GSE111368,GSM3029559,Control,6.998721616,5.016429051,11.2656841,4.645651655,9.203009991,4.119494446,10.45102112,9.779743646,8.066641442,4.177895991,9.220284852,10.07439007,12.59046074,12.43924901,13.59625025,6.35311375,13.56040881,5.166402737,6.960788476,9.073133741,7.60570719,13.72337839,5.072782195
GSE111368,GSM3029560,Viral,7.91686539,5.426596307,11.04851314,4.95040633,9.663322903,4.003280419,10.08292931,10.17113823,9.115034833,4.206693371,9.092078678,9.763899121,12.27394965,11.77816928,13.39971323,6.34288355,13.50006765,8.172114814,6.929348724,9.255221027,7.363770872,13.56512012,4.733234807
GSE111368,GSM3029561,Viral,7.453553866,5.427315794,10.1796994,4.839017853,9.358470443,4.558825374,8.843934812,9.328086705,7.994957532,4.360016967,9.372883363,9.54969442,12.55432528,12.15124471,12.90663881,7.482733092,13.69707529,12.26649063,6.15118724,7.901856907,8.777092527,13.55229581,4.678260078
GSE111368,GSM3029562,Viral,5.492321637,4.795816158,11.76435909,4.877526946,7.374975934,5.142078586,8.202425804,6.398576327,5.854792063,4.30553282,9.323752038,9.130875074,13.00419337,12.79559978,13.34617243,8.493297174,13.62706691,4.613777173,5.513542069,7.366771864,9.199701069,13.68926565,4.974489446
GSE111368,GSM3029563,Viral,8.608743342,4.922236732,11.78763355,4.495517052,9.689534632,4.495517052,8.981421093,10.67873798,9.232560855,4.261736101,7.963437761,9.336106061,12.13482488,12.81361054,13.61658018,7.967008757,13.70495236,12.69035642,5.852491893,8.233257935,8.196951184,13.62706691,4.932752156
GSE111368,GSM3029564,Viral,8.116316796,4.8925251,11.12117125,4.288063049,8.868981455,4.754521571,9.863027515,9.79797435,8.74361665,3.854797025,9.373873593,9.59241514,12.77274155,12.43924901,13.7419467,6.284832369,13.83484312,12.58583297,6.748632362,7.831076622,8.762574857,13.72337839,4.445320991
GSE111368,GSM3029565,Control,6.55572828,4.746011356,10.90672291,4.567535066,9.662284169,4.225681862,10.95436947,9.182033772,7.247976012,3.477843637,9.132506544,9.972157062,12.43466168,12.06213294,13.56512012,5.814718861,13.81263253,6.725470517,5.666308487,8.913014162,6.060032558,13.83484312,4.526333384
GSE111368,GSM3029566,Viral,7.719884723,6.673826911,11.85198345,4.942762061,10.45102112,4.823837265,9.788962345,9.961759234,7.888422774,3.91350793,9.888746762,9.414761284,12.16723823,11.81624508,13.22598901,8.567016282,13.56916809,10.34339933,6.685011781,10.61048727,8.842887095,13.77867023,5.456436592
GSE111368,GSM3029567,Viral,11.5544507,7.173132051,10.86556175,6.188410719,13.04215103,4.936290905,9.065188543,13.41217972,12.83723823,6.755317877,10.50384467,9.417474784,13.06070654,13.26501741,13.6065084,7.744578908,13.5562843,13.34157857,8.257523316,10.24155929,9.245524504,13.64990252,6.080102836
